path,line,source,field,voltage_v
results\LayerwiseLossOptimize\run_20260706_085735\voltage_state_layer02_iter009.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter002.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter003.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter004.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter005.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter006.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter007.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260716_224053\voltage_state_layer02_iter008.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260722_093628\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260722_093628\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260722_142903\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260722_142903\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260722_170042\final_voltage.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260722_170042\heater_current_diagnostics\all_128_port_currents.csv,76,csv,voltage_v,4.332
results\LayerwiseLossOptimize\run_20260722_170042\heater_current_diagnostics\all_heater_current_diagnostics.csv,24,csv,voltage_v,4.332
results\LayerwiseLossOptimize\run_20260722_170042\heater_current_diagnostics\channel_3_4_path_heater_diagnostics.csv,9,csv,voltage_v,4.332
results\LayerwiseLossOptimize\run_20260722_172125\final_voltage.csv,76,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_100731\pass_through_mzi_plan.csv,16,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_100731\pass_through_voltage.csv,76,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_101225\pass_through_mzi_plan.csv,16,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_101225\pass_through_voltage.csv,76,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_104412\pass_through_mzi_plan.csv,16,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_104412\pass_through_voltage.csv,76,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_124011\pass_through_mzi_plan.csv,16,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_124011\pass_through_voltage.csv,76,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_140500\pass_through_mzi_plan.csv,16,csv,voltage,4.332
results\MNISTInputPassThroughTest\run_20260720_140500\pass_through_voltage.csv,76,csv,voltage,4.332
