mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index,iteration
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,318,318,1
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,318,318,1
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,318,318,1
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,318,318,1
3,41,4.164,8.093643218673503,6.930912251174612,7.284278896806152,8.903007540540854,333,333,0
2,45,4.261,8.36593487650073,7.268047534230565,7.529341388850658,9.202528364150805,340,340,0
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,340,340,3
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,340,340,3
3,41,3.987,7.749605070329312,,6.974644563296381,8.524565577362242,340,340,3
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,340,340,3
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,340,340,3
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,340,340,3
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,340,340,3
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,340,340,3
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,344,344,2
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,344,344,2
3,41,4.087,7.943976905552019,,7.149579214996818,8.73837459610722,344,344,2
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,344,344,2
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,344,344,2
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,344,344,2
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,344,344,2
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,344,344,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,344,344,6
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,344,344,6
3,41,3.993,7.761267380442675,,6.985140642398408,8.537394118486942,344,344,6
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,344,344,6
