switch_mzi,port,feature_coefficient,upload_voltage,target_chip_power_uw,target_leak_power,p_on_leak,p_off_leak,chip_power_max_uw,scan_path
7,42,0.33,3.552,79.216405710354,161.871504289646,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.34,3.544,81.616902853092,159.471007146908,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.35000000000000003,3.536,84.01739999583,157.07051000417,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.36,3.528,86.417897138568,154.67001286143199,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.37,3.519,88.818394281306,152.26951571869398,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.38,3.511,91.218891424044,149.86901857595598,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.39,3.503,93.619388566782,147.46852143321797,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.4,3.495,96.01988570952,145.06802429048,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.41000000000000003,3.487,98.420382852258,142.667527147742,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.42,3.479,100.82087999499599,140.26703000500402,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.43,3.471,103.221377137734,137.866532862266,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.44,3.463,105.621874280472,135.466035719528,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.45,3.455,108.02237142321,133.06553857679,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.46,3.448,110.42286856594801,130.665041434052,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.47000000000000003,3.44,112.823365708686,128.264544291314,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.48,3.432,115.22386285142399,125.864047148576,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.49,3.424,117.62435999416199,123.463550005838,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.5,3.416,120.0248571369,121.0630528631,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.51,3.408,122.425354279638,118.662555720362,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.52,3.4,124.825851422376,116.26205857762399,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.53,3.392,127.22634856511401,113.86156143488599,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.54,3.383,129.626845707852,111.461064292148,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.55,3.375,132.02734285059,109.06056714940999,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.56,3.367,134.427839993328,106.66007000667199,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.5700000000000001,3.359,136.828337136066,104.25957286393398,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.58,3.35,139.228834278804,101.859075721196,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.59,3.342,141.629331421542,99.458578578458,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.6,3.334,144.02982856428,97.05808143572,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.61,3.326,146.430325707018,94.657584292982,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
7,42,0.62,3.317,148.830822849756,92.25708715024399,1.038195726200002,241.08791,240.0497142738,Scandata-backup-04\1Col\power_data\42.txt
