sample_index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,expected_input_power_0,expected_input_power_1,expected_input_power_2,expected_input_power_3,expected_input_power_4,expected_input_power_5,expected_input_power_6,expected_input_power_7,feature_sum,expected_input_power_sum,feature_min,feature_max,feature_valid,finite_ok,nonnegative_ok,sum_ok,upper_bound_ok,nonzero_ok,feature_validation_mode
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,1.0,True,True,True,True,True,True,bounded
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,1.0,True,True,True,True,True,True,bounded
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,1.0,True,True,True,True,True,True,bounded
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,1.0,120.0,0.0,1.0,True,True,True,True,True,True,bounded
4,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.23529411764704,0.0,0.0,0.0,0.968627450980392,116.23529411764704,0.0,0.968627450980392,True,True,True,True,True,True,bounded
5,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.23529411764704,0.0,0.0,0.0,0.0,0.968627450980392,116.23529411764704,0.0,0.968627450980392,True,True,True,True,True,True,bounded
6,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.4705882352941,0.0,0.0,0.0,0.9372549019607842,112.4705882352941,0.0,0.9372549019607842,True,True,True,True,True,True,bounded
7,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.4705882352941,0.0,0.0,0.0,0.0,0.9372549019607842,112.4705882352941,0.0,0.9372549019607842,True,True,True,True,True,True,bounded
8,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.29411764705885,0.0,0.0,0.0,0.9607843137254904,115.29411764705885,0.0,0.9607843137254904,True,True,True,True,True,True,bounded
9,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.29411764705885,0.0,0.0,0.0,0.0,0.9607843137254904,115.29411764705885,0.0,0.9607843137254904,True,True,True,True,True,True,bounded
10,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.99999999999999,0.0,0.0,0.0,0.9333333333333332,111.99999999999999,0.0,0.9333333333333332,True,True,True,True,True,True,bounded
11,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.99999999999999,0.0,0.0,0.0,0.0,0.9333333333333332,111.99999999999999,0.0,0.9333333333333332,True,True,True,True,True,True,bounded
12,0.0,0.0,0.0,0.0,0.9568627450980391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.8235294117647,0.0,0.0,0.0,0.9568627450980391,114.8235294117647,0.0,0.9568627450980391,True,True,True,True,True,True,bounded
13,0.0,0.0,0.0,0.9568627450980391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.8235294117647,0.0,0.0,0.0,0.0,0.9568627450980391,114.8235294117647,0.0,0.9568627450980391,True,True,True,True,True,True,bounded
14,0.0,0.0,0.0,0.0,0.7921568627450978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.05882352941174,0.0,0.0,0.0,0.7921568627450978,95.05882352941174,0.0,0.7921568627450978,True,True,True,True,True,True,bounded
